BF1,AMPL1_I,BGSE,BGSM
8.314696,5.9917355,2.6823416,5.1027756
8.315007,6.0241647,2.6908114,5.0604663
8.3166275,6.0290437,2.6913526,5.0570292
8.352105,6.0592885,2.6984253,5.075548
8.3481,6.0493784,2.7003305,5.0797634
8.373863,6.095523,2.6854858,5.074874
8.408341,6.129284,2.6448195,5.112437
8.427264,6.1544013,2.650718,5.1103644
8.434626,6.170061,2.6327477,5.112915
8.465208,6.207251,2.5711944,5.1496353
8.444645,6.204624,2.5885048,5.1102157
8.453756,6.220935,2.5257204,5.1367984
8.464257,6.2160673,2.4946432,5.175027
8.438499,6.1990047,2.450232,5.174648
8.426512,6.1785374,2.393408,5.20609
8.4128065,6.166708,2.3348174,5.2245245
8.419571,6.1399813,2.2954187,5.2840185
8.404395,6.102443,2.2943203,5.3037853
8.451861,6.1388054,2.2700737,5.3475037
8.407434,6.0919223,2.2336586,5.34642
8.385009,6.0760612,2.228193,5.33151
8.366269,6.0678577,2.2471743,5.303374
8.365834,6.0715423,2.2552645,5.29503
8.330457,6.0386615,2.2737439,5.268886
8.30424,6.012533,2.2968335,5.2473235
8.328707,6.0587764,2.383675,5.1939077
8.329181,6.061967,2.383607,5.190975
8.325158,6.063823,2.3506258,5.19739
8.329599,6.065737,2.4060204,5.176884
8.334097,6.0603933,2.4362943,5.176222
8.360434,6.1102934,2.4052355,5.174554
8.386057,6.1536145,2.3815954,5.175615
8.40762,6.168184,2.3586013,5.203709
8.402285,6.1723995,2.3500445,5.193954
8.4221735,6.203031,2.33018,5.1986227
8.410717,6.193733,2.3177037,5.1967373
8.435621,6.189665,2.3408468,5.2314625
8.42967,6.170409,2.2723136,5.2746553
8.427898,6.1647143,2.2158787,5.302419
8.406597,6.1404433,2.1997104,5.3034983
8.385126,6.113827,2.1639783,5.314947
8.418221,6.1311316,2.1357255,5.3585777
8.439,6.142181,2.0630636,5.406858
8.430593,6.117305,2.073299,5.418016
8.408513,6.1045227,2.0459282,5.408519
8.356402,6.052767,2.0619667,5.3797555
8.3788,6.05213,2.0952938,5.4023857
8.381975,6.0523767,2.125119,5.395379
8.356093,5.998913,2.15026,5.4049716
8.3445215,6.0021706,2.2028406,5.362133
8.367931,6.027262,2.1747673,5.3818927
8.373428,6.017679,2.1542118,5.4093633
8.373258,6.037245,2.0856102,5.4141803
8.381119,6.0474095,2.0516553,5.427955
8.40063,6.0705557,1.9991739,5.4518113
8.406189,6.074113,1.9351637,5.4794445
8.355005,6.012816,1.8226631,5.5072727
8.386173,6.066392,1.7733909,5.5119762
8.373413,6.0419126,1.7038913,5.5413074
8.380607,6.064339,1.6599919,5.54101
8.356133,6.039228,1.5929945,5.5511317
8.364917,6.058863,1.5618167,5.551822
8.333369,6.0268593,1.5746047,5.535579
8.344841,6.046112,1.5569595,5.536857
8.348122,6.0314646,1.545186,5.5610223
8.332607,6.0442104,1.5187503,5.531118
8.363876,6.0897636,1.5293632,5.525419
8.373189,6.092843,1.5553988,5.5288596
8.342608,6.0795507,1.5444987,5.500245
8.302553,6.007439,1.5411177,5.519785
8.283938,6.029504,1.5501926,5.464944
8.277743,5.9937487,1.6077658,5.4782395
8.252266,5.948162,1.6204982,5.4857316
8.267619,5.9404907,1.6522769,5.5076375
8.251379,5.896133,1.648151,5.5321307
8.250682,5.910039,1.6136411,5.5264225
8.281503,5.869191,1.5974541,5.619966
8.26157,5.8487425,1.5314271,5.6303177
8.257371,5.838597,1.469607,5.6511254
8.249702,5.8301396,1.4808544,5.6457176
8.276859,5.8437543,1.4659107,5.6752124
8.292879,5.817094,1.5019578,5.716414
8.310942,5.802015,1.4448895,5.772406
8.272488,5.770234,1.3935002,5.7616496
8.296335,5.7856197,1.3490219,5.791021
8.307581,5.801234,1.2938067,5.8041067
8.289774,5.7789345,1.2743019,5.805206
8.316361,5.8092275,1.2702447,5.813882
8.312318,5.7904296,1.2343078,5.8345556
8.342304,5.814016,1.221495,5.856553
8.340197,5.8291097,1.2330592,5.836088
8.269338,5.772963,1.2296128,5.791622
8.282649,5.7941017,1.2751528,5.7796755
8.243548,5.7663865,1.3591468,5.7321553
8.248657,5.81958,1.443299,5.664779
8.241662,5.852848,1.423116,5.625292
8.235143,5.844792,1.4243152,5.6238155
8.188411,5.8074374,1.3920686,5.602311
8.204305,5.7964673,1.3710054,5.6419787
8.183356,5.8087487,1.3924652,5.5934606
8.192008,5.8006244,1.4427543,5.6018043
8.20309,5.8154883,1.4699719,5.59553
8.229123,5.8412924,1.5124964,5.595546
8.213615,5.7946734,1.5413244,5.6133375
8.259807,5.8324823,1.6822634,5.6014776
8.296533,5.8731537,1.640262,5.6256604
8.329921,5.940336,1.587058,5.619718
8.2589,5.8655195,1.5531737,5.602924
8.299243,5.896721,1.5606284,5.62766
8.26409,5.8575435,1.5145919,5.6294203
8.243381,5.8422356,1.5534993,5.604306
8.236416,5.8552814,1.5703349,5.5756865
8.218537,5.8627076,1.5969707,5.533778
8.197822,5.8434753,1.6566294,5.505783
8.184135,5.845251,1.6913862,5.472871
8.162871,5.8111763,1.8398151,5.4293437
8.229384,5.830719,1.9471711,5.471199
8.284203,5.865145,2.0153048,5.4924154
8.299317,5.867873,2.0737295,5.490571
8.301589,5.8474693,2.0222342,5.5348034
8.303002,5.8405004,2.030074,5.5414085
8.283617,5.828109,1.9870744,5.541029
8.301126,5.850921,2.0349011,5.5258102
8.252636,5.813761,2.0167756,5.4989815
8.262612,5.86972,2.093429,5.425376
8.2694,5.882471,2.196806,5.3808494
8.279206,5.854983,2.3231938,5.3728204
8.267686,5.8602395,2.4087982,5.3113
8.281323,5.869722,2.4629133,5.2972393
8.303753,5.8859687,2.4548686,5.3180165
8.326482,5.878369,2.5305278,5.326492
8.329978,5.8547463,2.5706465,5.3387504
8.317295,5.828323,2.664118,5.301936
8.315798,5.8523235,2.7068448,5.2512665
8.3249655,5.8784294,2.7380219,5.220378
8.314008,5.8841257,2.7139022,5.2090816
8.3246355,5.912179,2.7400784,5.1805086
8.283784,5.906988,2.7659376,5.106678
8.301822,5.900499,2.8143108,5.1170325
8.311144,5.926283,2.8094738,5.105012
8.3034725,5.948114,2.801693,5.0713034
8.345375,5.9784193,2.83938,5.083475
8.317469,5.9987464,2.785159,5.043631
8.353483,6.0210876,2.8167915,5.05894
8.315031,6.027122,2.7074323,5.048104
8.332232,6.012771,2.6891923,5.1030307
8.344504,6.043647,2.6557841,5.1041064
8.329325,6.0268345,2.5885422,5.1336513
8.358212,6.034655,2.569417,5.1808057
8.325386,6.011472,2.5424337,5.1681986
8.322136,5.9947667,2.5211494,5.1927366
8.285836,5.9512854,2.4776323,5.205634
8.313721,5.968795,2.4370463,5.249024
8.294878,5.931356,2.4536803,5.253901
8.292263,5.8972497,2.3782654,5.322399
8.311373,5.907297,2.353746,5.3518825
8.273221,5.8570476,2.2867267,5.376993
8.312706,5.866831,2.344583,5.402251
8.349223,5.8651085,2.4086564,5.4321632
8.324206,5.833117,2.4261107,5.420438
8.328257,5.8363175,2.4341133,5.4196267
8.298374,5.818873,2.418041,5.399705
8.323493,5.8310637,2.4718268,5.400862
8.262886,5.789667,2.489758,5.343795
8.254751,5.7551394,2.522121,5.353335
8.25905,5.7816377,2.5361876,5.3246913
8.284079,5.8194165,2.574507,5.303985
8.275469,5.815682,2.6092556,5.2775955
8.278903,5.842811,2.603899,5.255616
8.2393265,5.81679,2.6267762,5.21071
8.253961,5.841296,2.6761415,5.1812534
8.259305,5.8515205,2.7701173,5.1285753
8.271578,5.882658,2.7936623,5.0998807
8.32442,5.8964725,2.8292232,5.1500564
8.342717,5.9156904,2.8169436,5.1643357
8.371171,5.952196,2.784561,5.1859508
8.392482,5.984216,2.7361503,5.209261
8.361778,5.94713,2.6294737,5.2570763
8.361695,5.9387054,2.5757394,5.2929482
8.359127,5.9336452,2.4969826,5.3321605
8.385624,5.9244566,2.4531019,5.4038687
8.325652,5.879429,2.3775344,5.394083
8.321091,5.869709,2.3677008,5.4019504
8.275,5.8160315,2.4500718,5.352247
8.242927,5.761216,2.548505,5.3159523
8.245706,5.7445054,2.643474,5.291915
8.219563,5.743614,2.7081697,5.2189965
8.211023,5.7144713,2.8769665,5.146725
8.232162,5.7045827,3.0402703,5.0973516
8.286077,5.741652,3.1601102,5.070129
8.344769,5.807722,3.275503,5.0176296
8.403158,5.8910627,3.2715566,5.020494
8.4347105,5.9628587,3.2223399,5.020476
8.443689,6.052084,3.0937781,5.0096607
8.411724,6.084478,2.9715545,4.9906
8.435565,6.1791716,2.8418508,4.990038
8.4155035,6.23878,2.6840594,4.9693213
8.407463,6.27833,2.5479531,4.9775443
8.387256,6.314192,2.4093904,4.9670796
8.362426,6.3360524,2.3286555,4.935784
8.349349,6.363391,2.289054,4.8968477
8.347315,6.3747306,2.2448246,4.899106
8.3184395,6.340245,2.2605166,4.887514
8.279742,6.3154397,2.206413,4.878637
8.290578,6.3302817,2.209618,4.8763523
8.268113,6.312006,2.2161102,4.8589225
8.271539,6.2920814,2.226477,4.8857822
8.25508,6.2979474,2.2106216,4.8575063
8.230765,6.253768,2.2180216,4.8699346
8.240293,6.233833,2.2157462,4.912455
8.255879,6.238738,2.2684155,4.908358
8.236281,6.2200146,2.269897,4.898501
8.257663,6.2258835,2.2917848,4.9168177
8.275859,6.238926,2.2741508,4.939016
8.2696905,6.2236843,2.2434013,4.961923
8.276866,6.2045093,2.2235034,5.006656
8.299092,6.1894484,2.1905336,5.0761423
8.272695,6.13777,2.1725848,5.1034427
8.299839,6.123361,2.149774,5.1739964
8.276266,6.1067224,2.0754895,5.186219
8.314162,6.113068,2.0200253,5.2607217
8.300151,6.06537,1.9898075,5.305135
8.265611,5.9994245,1.9859382,5.3275957
8.265211,5.9414635,2.0266778,5.3763657
8.250187,5.8618627,2.020386,5.442628
8.294947,5.8725457,2.0382519,5.4922566
8.264437,5.809736,2.0246844,5.51802
8.297883,5.828459,2.0556233,5.5369983
8.298072,5.799495,2.0262072,5.5783815
8.305149,5.7838316,2.02166,5.606754
8.299174,5.7897935,1.9420356,5.6198835
8.280221,5.7811275,1.9069898,5.6128435
8.2707615,5.7903485,1.8768262,5.5995436
8.250973,5.74799,1.9283953,5.5964675
8.254086,5.7621465,1.9792534,5.5686755
8.262106,5.78387,2.0259407,5.541191
8.232499,5.7269936,2.11031,5.524688
8.230402,5.7305326,2.1756415,5.4924574
8.291635,5.773846,2.228946,5.517763
8.278212,5.791148,2.3036642,5.448351
8.291559,5.8481593,2.2956152,5.4110208
8.247769,5.884827,2.2383606,5.3276873
8.235858,5.8977633,2.2031827,5.309589
8.20312,5.889619,2.171107,5.2810845
8.22332,5.941952,2.1099582,5.278662
8.270261,6.0047503,2.1979723,5.244913
8.246828,6.0061603,2.1935883,5.2081075
8.263475,6.03831,2.2080967,5.1911607
8.266693,6.028224,2.2293448,5.198918
8.241413,5.9942994,2.231086,5.1972613
8.230494,5.992059,2.2345643,5.1810207
8.2179575,6.0185204,2.2164333,5.13806
8.239697,6.0595107,2.2585456,5.1062627
8.2661295,6.114103,2.2854183,5.0718346
8.250797,6.103155,2.2508917,5.0754943
8.250402,6.1133437,2.2667832,5.055479
8.23734,6.091838,2.249856,5.067685
8.2445,6.103855,2.248326,5.0655465
8.2341385,6.122775,2.3039804,5.0004344
8.19981,6.1260295,2.308073,4.9377565
8.199996,6.1675587,2.3903012,4.8464026
8.169985,6.1583304,2.4660542,4.7688785
8.141293,6.1737957,2.504931,4.678697
8.11536,6.2004023,2.499586,4.600669
8.102366,6.219319,2.5544443,4.5214195
8.0789995,6.232782,2.647256,4.4062114
8.05311,6.250439,2.750762,4.268244
8.065636,6.2611313,2.8933723,4.1810412
8.092569,6.2921925,3.0215774,4.094883
8.103617,6.29128,3.099455,4.059776
8.122729,6.2991066,3.152019,4.0453386
